Time Published,Ticker,Overall Sentiment Score,Ticker Sentiment Score
20240401T034222,AAPL,0.202624,0.415683
20240401T040157,NVDA,0.329593,0.353362
20240331T112300,AMZN,0.268211,0.292505
20240401T060703,GOOG,0.320344,0.0
20240331T134500,LLY,0.162909,0.193373
20240401T053000,XOM,0.219839,-0.05916
20240401T063000,UNH,0.091917,0.0
20240331T101500,PG,0.293541,0.130392
20240331T214307,JNJ,0.007244,-0.171128
20240331T193500,HD,0.306881,0.469756
20240331T120500,COST,0.434079,0.230242
20240331T095000,CVX,0.326109,0.271482
20240401T062447,BAC,0.330155,0.203533
20240331T143000,WMT,0.15346,0.032448
20240331T150000,AMD,0.166525,0.189612
20240401T040100,NFLX,0.040944,0.042316
20240331T172825,PEP,0.094142,0.069477
20240401T020035,KO,0.38267,0.171001
20240330T014500,TMO,0.26396,0.095987
20240331T105000,ADBE,0.131223,0.204464
20240331T201900,WFC,0.094354,-0.094938
20240329T133011,LIN,0.273581,0.201763
20240329T194958,DIS,0.254686,0.167924
20240329T130000,MCD,0.407306,0.0
20240330T090600,CSCO,0.199522,-0.059286
20240331T111513,ACN,0.120424,0.101552
20240330T102000,ORCL,0.107584,0.067131
20240330T091900,ABT,0.238472,-0.045412
20240401T023700,QCOM,0.30795,-0.012995
20240328T190026,INTU,0.238974,0.384695
20240331T160000,GE,0.029072,-0.094771
20240329T171323,CAT,0.154774,0.295234
20240329T103000,AMAT,0.076523,0.17731
20240330T172818,VZ,-0.028357,-0.262413
20240329T204225,DHR,0.145233,-0.034832
20240329T100000,TXN,0.075077,0.107268
20240330T113000,COP,0.226181,0.073852
20240330T092500,IBM,0.173628,0.118921
20240330T114500,UNP,0.215805,0.002527
20240329T130010,AMGN,0.206482,0.08334
20240331T133100,PFE,0.072326,0.053174
20240401T062442,GS,0.277904,0.148393
20240401T053000,NEE,0.219839,-0.05916
20240331T110000,INTC,0.316514,0.124105
20240331T180000,AXP,0.35867,0.241498
20240327T142700,RTX,0.373935,-0.007033
20240401T061200,SPGI,0.126226,0.07439
20240331T114500,ISRG,0.333497,0.529084
20240328T153600,ETN,0.389442,0.20758
20240330T070200,HON,0.222164,0.048956
20240401T023700,MU,0.30795,-0.012995
20240328T165436,ELV,0.082894,0.0
20240331T102800,BKNG,0.38276,0.323495
20240328T125400,PGR,0.461499,0.600609
20240330T180200,LRCX,0.22897,0.143772
20240401T024857,T,0.043355,-0.075945
20240401T061200,C,0.126226,0.07439
20240401T062445,MS,0.508522,0.307027
