Time Published,Ticker,Overall Sentiment Score,Ticker Sentiment Score
20240401T034222,AAPL,0.202624,0.415683
20240401T040157,NVDA,0.329593,0.353362
20240401T070500,AMZN,0.298364,0.314247
20240401T001500,GOOG,0.363839,0.180257
20240401T083000,LLY,0.24052,0.180009
20240401T053000,XOM,0.219839,-0.05916
20240401T063000,UNH,0.091917,0.0
20240402T134013,PG,0.262975,0.158998
20240401T103000,JNJ,0.151857,0.043599
20240401T162935,HD,0.393967,0.58477
20240401T130000,COST,0.297572,0.06688
20240401T072700,CVX,0.13064,0.222799
20240401T062447,BAC,0.330155,0.203533
20240401T111700,WMT,0.30396,0.317235
20240401T084100,AMD,0.215754,0.028643
20240401T040100,NFLX,0.040944,0.042316
20240401T080816,PEP,0.133015,0.269356
20240401T020035,KO,0.38267,0.171001
20240401T143105,TMO,0.238974,0.383648
20240401T083353,ADBE,0.191191,0.320369
20240401T121114,WFC,0.173474,0.0
20240401T111700,LIN,0.30396,0.317235
20240401T090001,DIS,0.161216,0.007523
20240401T130000,MCD,0.34066,0.015212
20240401T140000,CSCO,0.385715,0.0
20240401T120000,ACN,0.300131,0.175158
20240401T120200,ORCL,0.384193,0.031572
20240401T083000,ABT,0.24052,0.180009
20240401T023700,QCOM,0.30795,-0.012995
20240401T134200,INTU,0.364932,0.159959
20240401T073255,GE,0.519886,0.33568
20240401T161014,CAT,0.323646,0.459263
20240401T130000,AMAT,0.149621,0.051346
20240401T120500,VZ,0.10003,-0.043393
20240402T133600,DHR,0.220528,0.224377
20240401T130011,TXN,0.22842,0.159493
20240401T113423,COP,0.246474,0.404494
20240401T153000,IBM,0.408797,0.26561
20240402T134115,UNP,-0.092007,-0.04655
20240401T082400,AMGN,0.249637,0.058925
20240401T090500,PFE,0.190777,0.115944
20240401T062442,GS,0.277904,0.148393
20240401T053000,NEE,0.219839,-0.05916
20240401T142800,INTC,0.249418,0.132691
20240401T101500,AXP,0.316776,0.074255
20240402T105600,RTX,0.21596,-0.006694
20240401T035602,SPGI,0.063325,0.0
20240401T083000,ISRG,0.24052,0.180009
20240401T113000,ETN,0.44993,0.644435
20240402T145000,HON,0.231036,-0.050303
20240401T023700,MU,0.30795,-0.012995
20240401T203030,ELV,0.238974,0.384186
20240401T164542,BKNG,0.159554,0.192587
20240401T122300,PGR,0.196818,0.150506
20240401T130000,LRCX,0.149621,0.051346
20240401T024857,T,0.043355,-0.075945
20240401T023014,C,0.273615,0.116724
20240401T032703,MS,0.298751,0.168515
