#,Company,Symbol,Portfolio%,Sector
1,Microsoft Corp,MSFT,7.05%,Technology
2,Apple Inc.,AAPL,5.74%,Technology
3,Nvidia Corp,NVDA,5.06%,Technology
4,Amazon.com Inc,AMZN,3.83%,Consumer Cyclical
5,Alphabet Inc. Class A,GOOGL,2.37%,Communication Services
6,"Meta Platforms, Inc. Class A",META,2.28%,Communication Services
7,Alphabet Inc. Class C,GOOG,2.00%,Communication Services
8,Berkshire Hathaway Class B,BRK.B,1.71%,N/A
9,Broadcom Inc.,AVGO,1.38%,Technology
10,Eli Lilly & Co.,LLY,1.36%,Healthcare
11,Jpmorgan Chase & Co.,JPM,1.31%,Financial Services
12,Exxon Mobil Corporation,XOM,1.09%,Energy
13,"Tesla, Inc.",TSLA,1.09%,Consumer Cyclical
14,Unitedhealth Group Incorporated,UNH,1.07%,Healthcare
15,Visa Inc.,V,1.01%,Financial Services
16,Mastercard Incorporated,MA,0.89%,Financial Services
17,Procter & Gamble Company,PG,0.89%,Consumer Defensive
18,Johnson & Johnson,JNJ,0.82%,Healthcare
19,"Home Depot, Inc.",HD,0.78%,Consumer Cyclical
20,"Merck & Co., Inc.",MRK,0.78%,Healthcare
21,Costco Wholesale Corp,COST,0.76%,Consumer Defensive
22,Chevron Corporation,CVX,0.67%,Energy
23,Abbvie Inc.,ABBV,0.66%,Healthcare
24,"Salesforce, Inc.",CRM,0.62%,Technology
25,Bank of America Corporation,BAC,0.61%,Financial Services
26,Walmart Inc.,WMT,0.60%,Consumer Defensive
27,Advanced Micro Devices,AMD,0.59%,Technology
28,Netflix Inc,NFLX,0.57%,Communication Services
29,"Pepsico, Inc.",PEP,0.56%,Consumer Defensive
30,Coca-Cola Company,KO,0.56%,Consumer Defensive
31,"Thermo Fisher Scientific, Inc.",TMO,0.52%,Healthcare
32,Adobe Inc.,ADBE,0.50%,Technology
33,Wells Fargo & Co.,WFC,0.50%,Financial Services
34,Linde Plc,LIN,0.50%,Basic Materials
35,The Walt Disney Company,DIS,0.48%,Communication Services
36,Mcdonald's Corporation,MCD,0.46%,Consumer Cyclical
37,"Cisco Systems, Inc.",CSCO,0.45%,Technology
38,Accenture Plc,ACN,0.45%,Technology
39,Oracle Corp,ORCL,0.44%,Technology
40,Abbott Laboratories,ABT,0.44%,Healthcare
41,Qualcomm Inc,QCOM,0.43%,Technology
42,Intuit Inc,INTU,0.42%,Technology
43,General Electric Company,GE,0.41%,Industrials
44,Caterpillar Inc.,CAT,0.41%,Industrials
45,Applied Materials Inc,AMAT,0.40%,Technology
46,Verizon Communications,VZ,0.39%,Communication Services
47,Danaher Corporation,DHR,0.38%,Healthcare
48,Texas Instruments Incorporated,TXN,0.38%,Technology
49,Conocophillips,COP,0.36%,Energy
50,International Business Machines Corporation,IBM,0.36%,Technology
51,Comcast Corp,CMCSA,0.36%,Communication Services
52,"Servicenow, Inc.",NOW,0.35%,Technology
53,Union Pacific Corp.,UNP,0.35%,Industrials
54,Philip Morris International Inc.,PM,0.34%,Consumer Defensive
55,Amgen Inc,AMGN,0.34%,Healthcare
56,Pfizer Inc.,PFE,0.33%,Healthcare
57,"Uber Technologies, Inc.",UBER,0.33%,Technology
58,Goldman Sachs Group Inc.,GS,0.33%,Financial Services
59,"Nextra Energy, Inc.",NEE,0.32%,Utilities
60,Intel Corp,INTC,0.31%,Technology
61,American Express Company,AXP,0.31%,Financial Services
62,Rtx Corporation,RTX,0.31%,Industrials
63,S&p Global Inc.,SPGI,0.31%,Financial Services
64,Lowe's Companies Inc.,LOW,0.31%,Consumer Cyclical
65,Intuitive Surgical Inc.,ISRG,0.31%,Healthcare
66,"Eaton Corporation, Plcs",ETN,0.30%,Industrials
67,"Honeywell International, Inc.",HON,0.30%,Industrials
68,"Micron Technology, Inc.",MU,0.30%,Technology
69,"Elevance Health, Inc.",ELV,0.29%,Healthcare
70,Booking Holdings Inc.,BKNG,0.29%,Consumer Cyclical
71,Progressive Corporation,PGR,0.28%,Financial Services
72,Lam Research Corp,LRCX,0.28%,Technology
73,At&t Inc.,T,0.28%,Communication Services
74,Citigroup Inc.,C,0.28%,Financial Services
75,Morgan Stanley,MS,0.27%,Financial Services
76,"Nike, Inc.",NKE,0.27%,Consumer Cyclical
77,Stryker Corporation,SYK,0.26%,Healthcare
78,The Charles Schwab Corporation,SCHW,0.26%,Financial Services
79,"Tjx Companies, Inc.",TJX,0.26%,Consumer Cyclical
80,Boston Scientific Corp.,BSX,0.25%,Healthcare
81,"United Parcel Service, Inc. Class B",UPS,0.25%,Industrials
82,"Blackrock, Inc.",BLK,0.25%,Financial Services
83,Medtronic Plc,MDT,0.25%,Healthcare
84,The Cigna Group,CI,0.24%,Healthcare
85,Deere & Company,DE,0.24%,Industrials
86,Vertex Pharmaceuticals Inc,VRTX,0.24%,Healthcare
87,"Analog Devices, Inc.",ADI,0.23%,Technology
88,Starbucks Corp,SBUX,0.23%,Consumer Cyclical
89,Automatic Data Processing,ADP,0.23%,Industrials
90,Chubb Limited,CB,0.23%,Financial Services
91,Lockheed Martin Corp.,LMT,0.23%,Industrials
92,"Marsh & Mclennan Companies, Inc.",MMC,0.23%,Financial Services
93,"Prologis, Inc.",PLD,0.22%,Real Estate
94,Kla Corporation,KLAC,0.22%,Technology
95,Boeing Company,BA,0.22%,Industrials
96,"Mondelez International, Inc. Class A",MDLZ,0.22%,Consumer Defensive
97,"Fiserv, Inc.",FI,0.22%,Technology
98,Regeneron Pharmaceuticals Inc,REGN,0.22%,Healthcare
99,"Palo Alto Networks, Inc.",PANW,0.21%,Technology
100,Bristol-Myers Squibb Co.,BMY,0.21%,Healthcare
101,Blackstone Inc.,BX,0.21%,Financial Services
102,"Chipotle Mexican Grill, Inc.",CMG,0.20%,Consumer Cyclical
103,"T-Mobile Us, Inc.",TMUS,0.20%,Communication Services
104,Cvs Health Corporation,CVS,0.20%,Healthcare
105,Synopsys Inc,SNPS,0.19%,Technology
106,Gilead Sciences Inc,GILD,0.19%,Healthcare
107,American Tower Corporation,AMT,0.19%,Real Estate
108,The Southern Company,SO,0.19%,Utilities
109,"Eog Resources, Inc.",EOG,0.18%,Energy
110,"Waste Management, Inc.",WM,0.18%,Industrials
111,Cadence Design Systems,CDNS,0.18%,Technology
112,"Altria Group, Inc.",MO,0.18%,Consumer Defensive
113,Target Corporation,TGT,0.18%,Consumer Defensive
114,Cme Group Inc.,CME,0.18%,Financial Services
115,Intercontinental Exchange Inc.,ICE,0.18%,Financial Services
116,Duke Energy Corporation,DUK,0.18%,Utilities
117,Colgate-Palmolive Company,CL,0.17%,Consumer Defensive
118,Marathon Petroleum Corporation,MPC,0.17%,Energy
119,Zoetis Inc.,ZTS,0.17%,Healthcare
120,Freeport-Mcmoran Inc.,FCX,0.17%,Basic Materials
121,The Sherwin-Williams Company,SHW,0.17%,Basic Materials
122,Amphenol Corporation,APH,0.17%,Technology
123,Mckesson Corporation,MCK,0.17%,Healthcare
124,"Airbnb, Inc. Class A",ABNB,0.17%,Consumer Cyclical
125,Parker-Hannifin Corporation,PH,0.17%,Industrials
126,"Paypal Holdings, Inc.",PYPL,0.17%,Financial Services
127,Schlumberger Limited,SLB,0.16%,Energy
128,Transdigm Group Incorporated,TDG,0.16%,Industrials
129,Trane Technologies Plc,TT,0.16%,Industrials
130,"Equinix, Inc. Reit",EQIX,0.16%,Real Estate
131,Northrop Grumman Corp.,NOC,0.16%,Industrials
132,Illinois Tool Works Inc.,ITW,0.16%,Industrials
133,"Becton, Dickinson and Co.",BDX,0.16%,Healthcare
134,Csx Corporation,CSX,0.16%,Industrials
135,Arista Networks,ANET,0.16%,Technology
136,Phillips 66,PSX,0.15%,Energy
137,General Dynamics Corporation,GD,0.15%,Industrials
138,U.S. Bancorp,USB,0.15%,Financial Services
139,Pioneer Natural Resource Co.,PXD,0.15%,Energy
140,Emerson Electric Co.,EMR,0.15%,Industrials
141,Nxp Semiconductors N.v.,NXPI,0.15%,Technology
142,Pnc Financial Services Group,PNC,0.15%,Financial Services
143,"O'reilly Automotive, Inc.",ORLY,0.14%,Consumer Cyclical
144,Fedex Corporation,FDX,0.14%,Industrials
145,"Hca Healthcare, Inc.",HCA,0.14%,Healthcare
146,Constellation Energy Corporation,CEG,0.14%,Utilities
147,Marriot International Class A,MAR,0.14%,Consumer Cyclical
148,Moody's Corporation,MCO,0.14%,Financial Services
149,Paccar Inc,PCAR,0.14%,Industrials
150,Cintas Corp,CTAS,0.13%,Industrials
151,"Motorola Solutions, Inc.",MSI,0.13%,Technology
152,Aon Plc Class A,AON,0.13%,Financial Services
153,Valero Energy Corporation,VLO,0.13%,Energy
154,"Ecolab, Inc.",ECL,0.13%,Basic Materials
155,"Roper Technologies, Inc.",ROP,0.13%,Technology
156,Capital One Financial,COF,0.13%,Financial Services
157,Norfolk Southern Corp.,NSC,0.13%,Industrials
158,General Motors Company,GM,0.12%,Consumer Cyclical
159,"Air Products & Chemicals, Inc.",APD,0.12%,Basic Materials
160,Edwards Lifesciences Corp,EW,0.12%,Healthcare
161,"American International Group, Inc.",AIG,0.12%,Financial Services
162,Welltower Inc.,WELL,0.12%,Real Estate
163,Hilton Worldwide Holdings Inc.,HLT,0.12%,Consumer Cyclical
164,"Autozone, Inc.",AZO,0.12%,Consumer Cyclical
165,Truist Financial Corporation,TFC,0.12%,Financial Services
166,3m Company,MMM,0.12%,Industrials
167,Carrier Global Corporation,CARR,0.12%,Industrials
168,Microchip Technology Inc,MCHP,0.12%,Technology
169,Arthur J. Gallagher & Co.,AJG,0.12%,Financial Services
170,Ford Motor Company,F,0.12%,Consumer Cyclical
171,Newmont Corporation,NEM,0.12%,Basic Materials
